ST_NAME,PC_NAME,ST_CODE,PC_CODE,Res
AN,Andaman & Nicobar Islands,U01,1,100
AP,Zahirabad,S01,5,100
AP,Araku,S01,18,1200
AP,Khammam,S01,17,100
AP,Medak,S01,6,100
AP,Anakapalli,S01,22,100
AP,Bhongir,S01,14,100
AP,Chevella,S01,10,100
AP,Srikakulam,S01,19,100
AP,Eluru,S01,27,100
AP,Secunderabad,S01,8,100
AP,Peddapalle,S01,2,500
AP,Rajahmundry,S01,25,100
AP,Nalgonda,S01,13,100
AP,Narsapuram,S01,26,100
AP,Nagarkurnool,S01,12,500
AP,Amlapuram,S01,24,500
AP,Narasaraopet,S01,31,100
AP,Machilipatnam,S01,28,100
AP,Guntur,S01,30,100
AP,Ongole,S01,33,100
AP,Bapatla,S01,32,500
AP,Kurnool,S01,35,100
AP,Karimnagar,S01,3,100
AP,Nizamabad,S01,4,100
AP,Vizianagaram,S01,20,100
AP,Kakinada,S01,23,100
AP,Adilabad,S01,1,1200
AP,Rajampet,S01,41,100
AP,Nellore,S01,39,100
AP,Anantapur,S01,36,100
AP,Kadapa,S01,38,100
AP,Nandyal,S01,34,100
AP,Mahabubabad,S01,16,1200
AP,Chittoor,S01,42,500
AP,Tirupati,S01,40,500
AP,Hindupur,S01,37,100
AP,Mahbubnagar,S01,11,100
AP,Vijayawada,S01,29,100
AP,Visakhapatnam,S01,21,100
AP,Warangal,S01,15,500
AP,Hyderabad,S01,9,100
AP,Malkajgiri,S01,7,100
AR,Arunachal West,S02,1,100
AR,Arunachal East,S02,2,100
AS,Lakhimpur,S03,14,100
AS,Dibrugarh,S03,13,100
AS,Jorhat,S03,12,100
AS,Tezpur,S03,9,100
AS,Kaliabor,S03,11,100
AS,Mangaldoi,S03,8,100
AS,Nagaon,S03,10,100
AS,Autonomous District,S03,3,1200
AS,Dhubri,S03,4,100
AS,Karimganj,S03,1,500
AS,Silchar,S03,2,100
AS,Kokrajhar,S03,5,1200
AS,Guwahati,S03,7,100
AS,Barpeta,S03,6,100
BR,Muzaffarpur,S04,15,100
BR,Valmiki Nagar,S04,1,100
BR,Araria,S04,9,100
BR,Gopalganj,S04,17,500
BR,Siwan,S04,18,100
BR,Vaishali,S04,16,100
BR,Jhanjharpur,S04,7,100
BR,Supaul,S04,8,100
BR,Pashchim Champaran,S04,2,100
BR,Madhubani,S04,6,100
BR,Kishanganj,S04,10,100
BR,Darbhanga,S04,14,100
BR,Purnia,S04,12,100
BR,Maharajganj,S04,19,100
BR,Madhepura,S04,13,100
BR,Begusarai,S04,24,100
BR,Arrah,S04,32,100
BR,Sasaram,S04,34,500
BR,Nawada,S04,39,100
BR,Banka,S04,27,100
BR,Nalanda,S04,29,100
BR,Katihar,S04,11,100
BR,Samastipur,S04,23,500
BR,Khagaria,S04,25,100
BR,Pataliputra,S04,31,100
BR,Buxar,S04,33,100
BR,Patna Sahib,S04,30,100
BR,Bhagalpur,S04,26,100
BR,Munger,S04,28,100
BR,Purba Champaran,S04,3,100
BR,Sheohar,S04,4,100
BR,Sitamarhi,S04,5,100
BR,Ujiapur,S04,22,100
BR,Hajipur,S04,21,500
BR,Karakat,S04,35,100
BR,Saran (Chhapra),S04,20,100
BR,Jamui,S04,40,500
BR,Aurangabad,S04,37,100
BR,Gaya,S04,38,500
BR,Jahanabad,S04,36,100
CG,Janjgir-Champa,S26,3,500
CG,Raipur,S26,8,100
CG,Surguja,S26,1,1200
CG,Bilaspur,S26,5,100
CG,Rajnandgaon,S26,6,100
CG,Durg,S26,7,100
CG,Mahasamund,S26,9,100
CG,Raigarh,S26,2,1200
CG,Kanker,S26,11,1200
CG,Bastar,S26,10,1200
CG,Korba,S26,4,100
CH,Chandigarh,U02,1,100
DD,Daman & Diu,U04,1,100
DL,West Delhi,U05,6,100
DL,North West Delhi,U05,5,500
DL,Chandni Chowk,U05,1,100
DL,North East Delhi,U05,2,100
DL,South Delhi,U05,7,100
DL,East Delhi,U05,3,100
DL,New Delhi,U05,4,100
DN,Dadra & Nagar Haveli,U03,1,1200
GA,South Goa,S05,2,100
GA,North Goa,S05,1,100
GJ,Bardoli,S06,23,1200
GJ,Junagadh,S06,13,100
GJ,Surat,S06,24,100
GJ,Kheda,S06,17,100
GJ,Ahmadabad (West),S06,8,500
GJ,Jamnagar,S06,12,100
GJ,Sabar Kantha,S06,5,100
GJ,Banas Kantha,S06,2,100
GJ,Patan,S06,3,100
GJ,Panch Mahals,S06,18,100
GJ,Dohad,S06,19,1200
GJ,Vadodara,S06,20,100
GJ,Anand,S06,16,100
GJ,Amreli,S06,14,100
GJ,Ahmadabad (East),S06,7,100
GJ,Rajkot,S06,10,100
GJ,Surendranagar,S06,9,100
GJ,Navsari,S06,25,100
GJ,Bharuch,S06,22,100
GJ,Chhota Udaipur,S06,21,1200
GJ,Porbandar,S06,11,100
GJ,Valsad,S06,26,1200
GJ,Gandhinagar,S06,6,100
GJ,Mahesana,S06,4,100
GJ,Bhavnagar,S06,15,100
HP,Hamirpur,S08,3,100
HP,Kangra,S08,1,100
HP,Shimla,S08,4,500
HP,Mandi,S08,2,100
HR,Ambala,S07,1,500
HR,Krukshetra,S07,2,100
HR,Sirsa,S07,3,500
HR,Karnal,S07,5,100
HR,Sonipat,S07,6,100
HR,Hisar,S07,4,100
HR,Rohtak,S07,7,100
HR,Bhiwani - Mahendragarh,S07,8,100
HR,Gurgaon,S07,9,100
HR,Faridabad,S07,10,100
JH,Jamshedpur,S27,9,100
JH,Singhbhum,S27,10,1200
JH,Rajmahal,S27,1,1200
JH,Dumka,S27,2,1200
JH,Godda,S27,3,100
JH,Palamu,S27,13,500
JH,Hazaribagh,S27,14,100
JH,Dhanbad,S27,7,100
JH,Kodarma,S27,5,100
JH,Lohardaga,S27,12,1200
JH,Khunti,S27,11,1200
JH,Chatra,S27,4,100
JH,Ranchi,S27,8,100
JH,Giridih,S27,6,100
JK,Leh (Ladakh),S09,4,100
JK,Jammu,S09,6,100
JK,Srinagar,S09,2,100
JK,Anantnag,S09,3,100
JK,Baramula,S09,1,100
JK,Udhampur,S09,5,100
JK,,,-1,
KA,Gulbarga,S10,5,500
KA,Bijapur,S10,4,500
KA,Chikkodi,S10,1,100
